Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2022-12-09 13:30:00-05:00,395.82,396.3,395.01,395.88,5887489,0.0,0.0,0.0
2022-12-09 14:30:00-05:00,395.81,396.29,395.41,395.45,5688877,0.0,0.0,0.0
2022-12-09 15:30:00-05:00,395.45,395.59,393.15,393.28,15705183,0.0,0.0,0.0
2022-12-12 09:30:00-05:00,394.11,394.87,393.41,394.44,13670329,0.0,0.0,0.0
2022-12-12 10:30:00-05:00,394.46,395.69,394.0,395.33,9430248,0.0,0.0,0.0
2022-12-12 11:30:00-05:00,395.33,395.83,394.89,395.36,6064333,0.0,0.0,0.0
2022-12-12 12:30:00-05:00,395.36,396.25,395.08,395.47,5605729,0.0,0.0,0.0
2022-12-12 13:30:00-05:00,395.46,396.14,395.39,395.76,5468737,0.0,0.0,0.0
2022-12-12 14:30:00-05:00,395.77,398.25,395.47,398.08,9080186,0.0,0.0,0.0
2022-12-12 15:30:00-05:00,398.08,398.93,397.87,398.92,12640682,0.0,0.0,0.0
2022-12-13 09:30:00-05:00,410.22,410.49,404.85,405.48,33825962,0.0,0.0,0.0
2022-12-13 10:30:00-05:00,405.48,406.16,403.63,404.57,16280385,0.0,0.0,0.0
2022-12-13 11:30:00-05:00,404.59,405.84,399.89,400.27,14645496,0.0,0.0,0.0
2022-12-13 12:30:00-05:00,400.25,402.08,399.07,401.83,12250744,0.0,0.0,0.0
2022-12-13 13:30:00-05:00,401.84,402.39,400.62,401.7,8695115,0.0,0.0,0.0
2022-12-13 14:30:00-05:00,401.7,403.22,399.88,401.72,11325020,0.0,0.0,0.0
2022-12-13 15:30:00-05:00,401.73,403.04,401.31,401.95,15598893,0.0,0.0,0.0
2022-12-14 09:30:00-05:00,401.61,404.38,401.58,404.13,11963570,0.0,0.0,0.0
2022-12-14 10:30:00-05:00,404.13,404.95,403.54,404.88,8328733,0.0,0.0,0.0
2022-12-14 11:30:00-05:00,404.88,405.04,403.58,403.76,6953332,0.0,0.0,0.0
2022-12-14 12:30:00-05:00,403.78,404.35,403.5,404.1,6113728,0.0,0.0,0.0
2022-12-14 13:30:00-05:00,404.09,405.5,398.7,400.2,20534881,0.0,0.0,0.0
2022-12-14 14:30:00-05:00,399.61,403.59,396.38,398.71,29944446,0.0,0.0,0.0
2022-12-14 15:30:00-05:00,398.7,400.94,397.7,399.41,14501801,0.0,0.0,0.0
2022-12-15 09:30:00-05:00,394.3,395.25,390.3,391.16,24193179,0.0,0.0,0.0
2022-12-15 10:30:00-05:00,391.14,391.94,389.15,389.78,15165129,0.0,0.0,0.0
2022-12-15 11:30:00-05:00,389.8,390.13,388.73,389.77,10043325,0.0,0.0,0.0
2022-12-15 12:30:00-05:00,389.74,390.41,387.89,388.39,10573059,0.0,0.0,0.0
2022-12-15 13:30:00-05:00,388.37,388.99,388.0,388.37,8623838,0.0,0.0,0.0
2022-12-15 14:30:00-05:00,388.38,390.86,388.35,390.63,13532185,0.0,0.0,0.0
2022-12-15 15:30:00-05:00,390.58,390.88,388.94,389.65,17824261,0.0,0.0,0.0
2022-12-16 09:30:00-05:00,385.18,386.58,382.61,382.64,20175433,1.78,0.0,0.0
2022-12-16 10:30:00-05:00,382.64,383.53,381.85,382.44,25507017,0.0,0.0,0.0
2022-12-16 11:30:00-05:00,382.45,383.1,381.36,382.13,7397792,0.0,0.0,0.0
2022-12-16 12:30:00-05:00,382.12,382.89,381.04,381.16,7652962,0.0,0.0,0.0
2022-12-16 13:30:00-05:00,381.17,382.77,381.08,381.73,9487665,0.0,0.0,0.0
2022-12-16 14:30:00-05:00,381.74,384.22,381.2,384.08,12893055,0.0,0.0,0.0
2022-12-16 15:30:00-05:00,384.09,384.96,383.28,383.3,20183381,0.0,0.0,0.0
2022-12-19 09:30:00-05:00,383.47,383.82,381.74,383.52,11527203,0.0,0.0,0.0
2022-12-19 10:30:00-05:00,383.53,383.53,381.17,381.61,6923207,0.0,0.0,0.0
2022-12-19 11:30:00-05:00,381.63,381.78,380.41,381.01,7851960,0.0,0.0,0.0
2022-12-19 12:30:00-05:00,381.01,381.73,380.76,381.08,5055806,0.0,0.0,0.0
2022-12-19 13:30:00-05:00,381.05,381.19,378.65,378.65,9560776,0.0,0.0,0.0
2022-12-19 14:30:00-05:00,378.65,379.55,378.28,378.8,11805396,0.0,0.0,0.0
2022-12-19 15:30:00-05:00,378.82,380.41,378.55,379.99,11219657,0.0,0.0,0.0
2022-12-20 09:30:00-05:00,379.23,381.65,377.94,381.47,14574668,0.0,0.0,0.0
2022-12-20 10:30:00-05:00,381.48,382.14,378.85,379.18,10793846,0.0,0.0,0.0
2022-12-20 11:30:00-05:00,379.17,381.29,379.09,380.67,8601333,0.0,0.0,0.0
